index,Name,Gender,Document_Type,Document_Number,Address,New_DOB,Name_clean,Address_clean,Document_Number_clean,Document_valid,Combined_Text,Record_ID,Group_ID,Name_Length,Address_Length,Name_Freq,Address_Freq,Group_Size,Name_Encoded,Address_Encoded,Fraud_Label,Fraud_Probability,Fraud_Prediction,Risk_Level,Image_File,OCR_Text,OCR_Similarity,OCR_Match,Duplicate_Image_Flag,Final_Risk_Score,Final_Risk_Level,Gender_clean,Document_type_clean,DOB,Document_format,Combined_Data,Duplicate_Group_ID,Fraud_Risk_Score,Fraud_Risk_Level
1248,Saira Trivedi,Other,PAN,OESPT9207J,"31/86, Dani Road, Amravati-606677",31-12-1997,saira trivedi,3186 dani road amravati606677,OESPT9207J,True,saira trivedi 31 86 dani road amravati 606677,1248,1249,13,31,1,1,1,1835,498,1,0.67,1,Medium,img_8.jpg,saira trivedi,1.0,Match,Yes,0.602,Medium,other,pan,Unknown,True,saira trivedi other Unknown pan OESPT9207J 3186 dani road amravati606677,-1,0.0,Low
1249,Yakshit Rege,Male,Aadhaar,9534 2586 5509,"H.No. 06, Contractor Zila, Madhyamgram 176483",29-05-1989,yakshit rege,hno 06 contractor zila madhyamgram 176483,9.53426E+11,True,yakshit rege h no 06 contractor zila madhyamgram 176483,1249,1250,12,42,1,1,1,2260,1643,0,0.03,0,Low,img_9.jpg,yakshit rege,1.0,Match,Yes,0.218,Low,male,aadhaar,Unknown,False,yakshit rege male Unknown aadhaar 9534 2586 5509 hno 06 contractor zila madhyamgram 176483,-1,0.4,Medium
1250,Zaina Virk,Male,PAN,OVRJV3628M,"006, Sekhon Zila, Durgapur 648434",17-04-1994,zaina virk,006 sekhon zila durgapur 648434,OVRJV3628M,True,zaina virk 006 sekhon zila durgapur 648434,1250,1251,10,31,1,1,1,2317,10,0,0.06,0,Low,img_0.jpg,zaina virk,1.0,Match,Yes,0.236,Low,male,pan,Unknown,True,zaina virk male Unknown pan OVRJV3628M 006 sekhon zila durgapur 648434,-1,0.0,Low
1251,Pihu Khare,,Aadhaar,5985 5526 1181,,25-02-1998,pihu khare,nan,5.98555E+11,True,pihu khare none,1251,1252,10,4,1,122,1,1558,2378,0,0.0,0,Low,img_1.jpg,pihu khare,1.0,Match,Yes,0.2,Low,nan,aadhaar,Unknown,False,pihu khare nan Unknown aadhaar 5985 5526 1181 nan,-1,0.4,Medium
1252,Prerak Manda,Other,PAN,GECLM0582Y,"17/424, Balasubramanian Path, Ramgarh-114592",23-09-1988,prerak manda,17424 balasubramanian path ramgarh114592,GECLM0582Y,True,prerak manda 17 424 balasubramanian path ramgarh 114592,1252,1253,12,42,1,1,1,1597,238,0,0.05,0,Low,img_2.jpg,adnam karerp,0.25,Mismatch,Yes,0.38,Low,other,pan,Unknown,True,prerak manda other Unknown pan GECLM0582Y 17424 balasubramanian path ramgarh114592,-1,0.0,Low
1253,Jhanvi Brahmbhatt,Female,PAN,YHUBB3085D,"27/854, Lata, North Dumdum 968188",13-11-1970,jhanvi brahmbhatt,27854 lata north dumdum 968188,YHUBB3085D,True,jhanvi brahmbhatt 27 854 lata north dumdum 968188,1253,1254,17,31,1,1,1,1001,423,0,0.11,0,Low,img_3.jpg,ttahbmharb ivnahj,0.29,Mismatch,Yes,0.408,Medium,female,pan,Unknown,True,jhanvi brahmbhatt female Unknown pan YHUBB3085D 27854 lata north dumdum 968188,-1,0.0,Low
1254,Hiran Bhalla,Other,Aadhaar,1257 6954 8528,"46/85, Cheema Zila, Parbhani 588682",10-12-1984,hiran bhalla,4685 cheema zila parbhani 588682,1.2577E+11,True,hiran bhalla 46 85 cheema zila parbhani 588682,1254,1255,12,33,1,1,1,785,717,0,0.01,0,Low,img_4.jpg,hiran bhalla,1.0,Match,Yes,0.206,Low,other,aadhaar,Unknown,False,hiran bhalla other Unknown aadhaar 1257 6954 8528 4685 cheema zila parbhani 588682,-1,0.4,Medium
1255,Saksham Iyengar,Other,PAN,DXWGI6865T,"71/504, Borra, Gudivada 674312",31-07-1979,saksham iyengar,71504 borra gudivada 674312,DXWGI6865T,True,saksham iyengar 71 504 borra gudivada 674312,1255,1256,15,28,1,1,1,1841,1094,0,0.03,0,Low,img_5.jpg,saksham iyengar,1.0,Match,Yes,0.218,Low,other,pan,Unknown,True,saksham iyengar other Unknown pan DXWGI6865T 71504 borra gudivada 674312,-1,0.0,Low
1256,Nayantara Sathe,Other,Passport,K4603739,"88, Gole Nagar, Korba 555468",07-04-1983,nayantara sathe,88 gole nagar korba 555468,K4603739,True,nayantara sathe 88 gole nagar korba 555468,1256,1257,15,26,1,1,1,1415,1408,0,0.02,0,Low,img_6.jpg,nayantara sathe,1.0,Match,Yes,0.212,Low,other,passport,Unknown,True,nayantara sathe other Unknown passport K4603739 88 gole nagar korba 555468,-1,0.0,Low
1257,,Other,PAN,NGUAU8563N,,04-06-1978,nan,nan,NGUAU8563N,True,none none,1257,1258,4,4,118,122,1,1495,2378,0,0.098888801,0,Low,img_7.jpg,none,1.0,Match,Yes,0.259333281,Low,other,pan,Unknown,True,nan other Unknown pan NGUAU8563N nan,-1,0.0,Low
1258,Taran Bedi,Other,Aadhaar,1165 4449 1632,"H.No. 19, Bahl Marg, Pune 634894",23-10-1988,taran bedi,hno 19 bahl marg pune 634894,1.16544E+11,True,taran bedi h no 19 bahl marg pune 634894,1258,1259,10,29,1,1,1,2078,1751,0,0.07,0,Low,img_8.jpg,ideb narat,0.3,Mismatch,Yes,0.382,Low,other,aadhaar,Unknown,False,taran bedi other Unknown aadhaar 1165 4449 1632 hno 19 bahl marg pune 634894,-1,0.4,Medium
1259,Shanaya Sibal,,Passport,M1920940,"72/92, Dara Path, Erode 908102",01-04-2001,shanaya sibal,7292 dara path erode 908102,M1920940,True,shanaya sibal 72 92 dara path erode 908102,1259,1260,13,28,1,1,1,1973,1110,0,0.04,0,Low,img_9.jpg,shanaya sibal,1.0,Match,Yes,0.224,Low,nan,passport,Unknown,True,shanaya sibal nan Unknown passport M1920940 7292 dara path erode 908102,-1,0.0,Low
1260,Yuvraj  Suresh,Female,Passport,W1619100,"H.No. 00, Handa, Kirari Suleman Nagar-095834",24-03-2005,yuvraj  suresh,hno 00 handa kirari suleman nagar095834,W1619100,True,yuvraj suresh h no 00 handa kirari suleman nagar 095834,1260,1261,13,41,1,1,1,2295,1594,0,0.21,0,Low,img_0.jpg,yuvraj suresh,1.0,Match,Yes,0.326,Low,female,passport,Unknown,True,yuvraj  suresh female Unknown passport W1619100 hno 00 handa kirari suleman nagar095834,-1,0.0,Low
1261,Priyansh Chauhan,Female,Aadhaar,8617 2658 3310,"41/49, Kar Marg, Ranchi-600285",11-12-1982,priyansh chauhan,4149 kar marg ranchi600285,8.61727E+11,True,priyansh chauhan 41 49 kar marg ranchi 600285,1261,1262,16,28,1,1,1,1616,635,0,0.08,0,Low,img_1.jpg,priyansh chauhan,1.0,Match,Yes,0.248,Low,female,aadhaar,Unknown,False,priyansh chauhan female Unknown aadhaar 8617 2658 3310 4149 kar marg ranchi600285,-1,0.4,Medium
1262,Romil Varghese,Other,Passport,P7699858,"H.No. 091, Sarin Ganj, Bettiah 659958",29-12-1986,romil varghese,hno 091 sarin ganj bettiah 659958,P7699858,True,romil varghese h no 091 sarin ganj bettiah 659958,1262,1263,14,34,1,1,1,1796,1672,0,0.03,0,Low,img_2.jpg,romil varghese,1.0,Match,Yes,0.218,Low,other,passport,Unknown,True,romil varghese other Unknown passport P7699858 hno 091 sarin ganj bettiah 659958,-1,0.0,Low
1263,Aradhya Bala,Other,Aadhaar,4171 3964 9778,"H.No. 86, Bava Zila, Nanded 690624",28-09-1984,aradhya bala,hno 86 bava zila nanded 690624,4.1714E+11,True,aradhya bala h no 86 bava zila nanded 690624,1263,1264,12,31,1,1,1,294,2271,0,0.05,0,Low,img_3.jpg,aradhya bala,1.0,Match,Yes,0.23,Low,other,aadhaar,Unknown,False,aradhya bala other Unknown aadhaar 4171 3964 9778 hno 86 bava zila nanded 690624,-1,0.4,Medium
1264,Sumer Chand,Male,Aadhaar,6826 2739 6800,"40, Batra Road, Rajpur Sonarpur-271504",30-09-1981,sumer chand,40 batra road rajpur sonarpur271504,6.82627E+11,True,sumer chand 40 batra road rajpur sonarpur 271504,1264,1265,11,36,1,1,1,2040,620,0,0.2,0,Low,img_4.jpg,dnahc remus,0.09,Mismatch,Yes,0.502,Medium,male,aadhaar,Unknown,False,sumer chand male Unknown aadhaar 6826 2739 6800 40 batra road rajpur sonarpur271504,-1,0.4,Medium
1265,Misha Dhar,Male,PAN,LKCGD3886F,"29/18, Kibe Road, Bidar-130007",09-09-1990,misha dhar,2918 kibe road bidar130007,LKCGD3886F,True,misha dhar 29 18 kibe road bidar 130007,1265,1266,10,28,1,1,1,1340,453,0,0.13,0,Low,img_5.jpg,rahd ahsim,0.1,Mismatch,Yes,0.458,Medium,male,pan,Unknown,True,misha dhar male Unknown pan LKCGD3886F 2918 kibe road bidar130007,-1,0.0,Low
1266,Kismat Agarwal,Male,PAN,YDJFA0058C,"H.No. 438, Brahmbhatt Ganj, Latur-375719",09-02-1999,kismat agarwal,hno 438 brahmbhatt ganj latur375719,YDJFA0058C,True,kismat agarwal h no 438 brahmbhatt ganj latur 375719,1266,1267,14,37,1,1,1,1158,1950,0,0.07,0,Low,img_6.jpg,kismat agarwal,1.0,Match,Yes,0.242,Low,male,pan,Unknown,True,kismat agarwal male Unknown pan YDJFA0058C hno 438 brahmbhatt ganj latur375719,-1,0.0,Low
1267,Lagan Goda,Male,Passport,G3270555,"73, Chad, Nagaon 848658",07-11-1981,lagan goda,73 chad nagaon 848658,G3270555,True,lagan goda 73 chad nagaon 848658,1267,1268,10,21,1,1,1,1195,1132,0,0.0,0,Low,img_7.jpg,lagan goda,1.0,Match,Yes,0.2,Low,male,passport,Unknown,True,lagan goda male Unknown passport G3270555 73 chad nagaon 848658,-1,0.0,Low
1268,,Female,Passport,B1479386,"H.No. 175, Agate Nagar, Firozabad-940432",28-01-1982,nan,hno 175 agate nagar firozabad940432,B1479386,True,none h no 175 agate nagar firozabad 940432,1268,1269,4,37,118,1,1,1495,1742,0,0.03,0,Low,img_8.jpg,none,1.0,Match,Yes,0.218,Low,female,passport,Unknown,True,nan female Unknown passport B1479386 hno 175 agate nagar firozabad940432,-1,0.0,Low
1269,Vivaan Sankar,Male,Passport,B1963011,"H.No. 93, Bassi Ganj, Thiruvananthapuram 541686",26-02-1984,vivaan sankar,hno 93 bassi ganj thiruvananthapuram 541686,B1963011,True,vivaan sankar h no 93 bassi ganj thiruvananthapuram 541686,1269,1270,13,44,1,1,1,2243,2319,0,0.16,0,Low,img_9.jpg,vivaan sankar,1.0,Match,Yes,0.296,Low,male,passport,Unknown,True,vivaan sankar male Unknown passport B1963011 hno 93 bassi ganj thiruvananthapuram 541686,-1,0.0,Low
1270,Tejas Barad,Male,,Missing,"590, Ahuja Road, Malegaon-934492",11-08-1985,tejas barad,590 ahuja road malegaon934492,NONE,False,tejas barad 590 ahuja road malegaon 934492,1270,1271,11,30,1,1,1,2093,910,0,0.09,0,Low,img_0.jpg,tejas barad,1.0,Match,Yes,0.254,Low,male,nan,Unknown,False,tejas barad male Unknown nan Missing 590 ahuja road malegaon934492,-1,0.4,Medium
1271,Rati Anand,Other,Aadhaar,4579 2239 4305,"H.No. 647, Barad Marg, Sirsa-708005",29-12-1977,rati anand,hno 647 barad marg sirsa708005,4.57922E+11,True,rati anand h no 647 barad marg sirsa 708005,1271,1272,10,32,1,1,1,1693,2105,0,0.0,0,Low,img_1.jpg,rati anand,1.0,Match,Yes,0.2,Low,other,aadhaar,Unknown,False,rati anand other Unknown aadhaar 4579 2239 4305 hno 647 barad marg sirsa708005,-1,0.4,Medium
1272,Pari Rao,Other,Aadhaar,2402 2642 6377,"H.No. 82, Lall Nagar, Ichalkaranji 498100",25-02-1985,pari rao,hno 82 lall nagar ichalkaranji 498100,2.40226E+11,True,pari rao h no 82 lall nagar ichalkaranji 498100,1272,1273,8,38,2,1,1,1535,2242,0,0.05,0,Low,img_2.jpg,pari rao,1.0,Match,Yes,0.23,Low,other,aadhaar,Unknown,False,pari rao other Unknown aadhaar 2402 2642 6377 hno 82 lall nagar ichalkaranji 498100,-1,0.4,Medium
1273,,Other,,Missing,"51/565, Cherian Zila, Tadepalligudem-488346",08-03-1999,nan,51565 cherian zila tadepalligudem488346,NONE,False,none 51 565 cherian zila tadepalligudem 488346,1273,1274,4,41,118,1,1,1495,784,0,0.01,0,Low,img_3.jpg,enon,0.75,Mismatch,Yes,0.256,Low,other,nan,Unknown,False,nan other Unknown nan Missing 51565 cherian zila tadepalligudem488346,-1,0.4,Medium
1274,Kabir Guha,Other,Passport,N2583191,"183, Varughese Ganj, Ahmednagar-353114",18-06-1980,kabir guha,183 varughese ganj ahmednagar353114,N2583191,True,kabir guha 183 varughese ganj ahmednagar 353114,1274,1275,10,36,1,1,1,1046,267,0,0.01,0,Low,img_4.jpg,kabir guha,1.0,Match,Yes,0.206,Low,other,passport,Unknown,True,kabir guha other Unknown passport N2583191 183 varughese ganj ahmednagar353114,-1,0.0,Low
1275,Abram Dave,Other,PAN,KBFBD3355V,"76/057, Master Zila, Hubli–Dharwad-253807",12-06-2001,abram dave,76057 master zila hublidharwad253807,KBFBD3355V,True,abram dave 76 057 master zila hubli dharwad 253807,1275,1276,10,39,1,1,1,72,1191,0,0.02,0,Low,img_5.jpg,evad marba,0.3,Mismatch,Yes,0.352,Low,other,pan,Unknown,True,abram dave other Unknown pan KBFBD3355V 76057 master zila hublidharwad253807,-1,0.0,Low
1276,Piya Yogi,Other,Passport,D1018837,"670, Edwin Ganj, Tinsukia-883107",16-09-1979,piya yogi,670 edwin ganj tinsukia883107,D1018837,True,piya yogi 670 edwin ganj tinsukia 883107,1276,1277,9,30,1,1,1,1576,1030,0,0.01,0,Low,img_6.jpg,piya yogi,1.0,Match,Yes,0.206,Low,other,passport,Unknown,True,piya yogi other Unknown passport D1018837 670 edwin ganj tinsukia883107,-1,0.0,Low
1277,Jayant Kakar,Male,Passport,O8071771,"19, Garg Street, Giridih-047707",02-05-1998,jayant kakar,19 garg street giridih047707,O8071771,True,jayant kakar 19 garg street giridih 047707,1277,1278,12,29,1,1,1,977,281,1,0.65,1,Medium,img_7.jpg,jayant kakar,1.0,Match,Yes,0.59,Medium,male,passport,Unknown,True,jayant kakar male Unknown passport O8071771 19 garg street giridih047707,-1,0.0,Low
1278,Nehmat Batra,,,Missing,"60, Sabharwal Chowk, Chennai-235524",07-10-1983,nehmat batra,60 sabharwal chowk chennai235524,NONE,False,nehmat batra 60 sabharwal chowk chennai 235524,1278,1279,12,33,1,1,1,1429,921,0,0.08,0,Low,img_8.jpg,artab tamhen,0.08,Mismatch,Yes,0.432,Medium,nan,nan,Unknown,False,nehmat batra nan Unknown nan Missing 60 sabharwal chowk chennai235524,-1,0.4,Medium
1279,Kabir Apte,Female,PAN,FBWHA8871F,,22-08-1988,kabir apte,nan,FBWHA8871F,True,kabir apte none,1279,1280,10,4,1,122,1,1038,2378,0,0.0,0,Low,img_9.jpg,kabir apte,1.0,Match,Yes,0.2,Low,female,pan,Unknown,True,kabir apte female Unknown pan FBWHA8871F nan,-1,0.0,Low
1280,Saira Varty,Female,Passport,P5910432,"H.No. 211, Bains Zila, Raipur 836205",23-11-1985,saira varty,hno 211 bains zila raipur 836205,P5910432,True,saira varty h no 211 bains zila raipur 836205,1280,1281,11,33,1,1,1,1837,1773,0,0.01,0,Low,img_0.jpg,saira varty,1.0,Match,Yes,0.206,Low,female,passport,Unknown,True,saira varty female Unknown passport P5910432 hno 211 bains zila raipur 836205,-1,0.0,Low
1281,Prerak Bandi,,PAN,OOICB5531F,"767, Tak, Bulandshahr 465060",29-10-1986,prerak bandi,767 tak bulandshahr 465060,OOICB5531F,True,prerak bandi 767 tak bulandshahr 465060,1281,1282,12,26,1,1,1,1591,1212,0,0.04,0,Low,img_1.jpg,prerak bandi,1.0,Match,Yes,0.224,Low,nan,pan,Unknown,True,prerak bandi nan Unknown pan OOICB5531F 767 tak bulandshahr 465060,-1,0.0,Low
1282,Pranay Basak,Male,Aadhaar,1477 4614 5754,"88/422, Mannan Ganj, Coimbatore-565945",23-06-1970,pranay basak,88422 mannan ganj coimbatore565945,1.47746E+11,True,pranay basak 88 422 mannan ganj coimbatore 565945,1282,1283,12,36,1,1,1,1579,1403,0,0.05,0,Low,img_2.jpg,pranay basak,1.0,Match,Yes,0.23,Low,male,aadhaar,Unknown,False,pranay basak male Unknown aadhaar 1477 4614 5754 88422 mannan ganj coimbatore565945,-1,0.4,Medium
1283,Jivin Kapur,Other,Passport,W3684159,"H.No. 465, Kothari Zila, Siwan 416137",01-04-1984,jivin kapur,hno 465 kothari zila siwan 416137,W3684159,True,jivin kapur h no 465 kothari zila siwan 416137,1283,1284,11,34,1,1,1,1024,1973,0,0.06,0,Low,img_3.jpg,rupak nivij,0.27,Mismatch,Yes,0.382,Low,other,passport,Unknown,True,jivin kapur other Unknown passport W3684159 hno 465 kothari zila siwan 416137,-1,0.0,Low
1284,Diya Lad,Male,,Missing,"90/620, Dalal Chowk, Guna 967035",02-09-1992,diya lad,90620 dalal chowk guna 967035,NONE,False,diya lad 90 620 dalal chowk guna 967035,1284,1285,8,30,1,1,1,594,1434,0,0.02,0,Low,img_4.jpg,diya lad,1.0,Match,Yes,0.212,Low,male,nan,Unknown,False,diya lad male Unknown nan Missing 90620 dalal chowk guna 967035,-1,0.4,Medium
1285,Rasha Bhattacharyya,Female,Passport,Y8941096,"32, Lala Street, Tadepalligudem-467239",19-05-1977,rasha bhattacharyya,32 lala street tadepalligudem467239,Y8941096,True,rasha bhattacharyya 32 lala street tadepalligudem 467239,1285,1286,19,36,1,1,1,1680,513,0,0.09,0,Low,img_5.jpg,rasha bhattacharyya,1.0,Match,Yes,0.254,Low,female,passport,Unknown,True,rasha bhattacharyya female Unknown passport Y8941096 32 lala street tadepalligudem467239,-1,0.0,Low
1286,Ayesha Kalla,Male,Passport,W5123677,"H.No. 80, Vaidya Path, Kirari Suleman Nagar 333565",12-06-1990,ayesha kalla,hno 80 vaidya path kirari suleman nagar 333565,W5123677,True,ayesha kalla h no 80 vaidya path kirari suleman nagar 333565,1286,1287,12,47,1,1,1,358,2221,0,0.0,0,Low,img_6.jpg,allak ahseya,0.33,Mismatch,Yes,0.334,Low,male,passport,Unknown,True,ayesha kalla male Unknown passport W5123677 hno 80 vaidya path kirari suleman nagar 333565,-1,0.0,Low
1287,Hiran Barman,Female,Passport,C6757696,"677, Tailor Street, Nellore 005066",28-07-1983,hiran barman,677 tailor street nellore 005066,C6757696,True,hiran barman 677 tailor street nellore 005066,1287,1288,12,32,1,1,1,783,1038,0,0.01,0,Low,img_7.jpg,hiran barman,1.0,Match,Yes,0.206,Low,female,passport,Unknown,True,hiran barman female Unknown passport C6757696 677 tailor street nellore 005066,-1,0.0,Low
1288,Prisha Ramaswamy,Female,PAN,VAVLR4425C,"56/561, Batra Zila, Tadipatri 508381",13-03-1979,prisha ramaswamy,56561 batra zila tadipatri 508381,VAVLR4425C,True,prisha ramaswamy 56 561 batra zila tadipatri 508381,1288,1289,16,34,1,1,1,1606,854,0,0.02,0,Low,img_8.jpg,ymawsamar ahsirp,0.31,Mismatch,Yes,0.35,Low,female,pan,Unknown,True,prisha ramaswamy female Unknown pan VAVLR4425C 56561 batra zila tadipatri 508381,-1,0.0,Low
1289,Ranbir Ravel,Other,PAN,OQPFR9864J,"986, De Street, Anantapur-314465",24-07-2000,ranbir ravel,986 de street anantapur314465,OQPFR9864J,True,ranbir ravel 986 de street anantapur 314465,1289,1290,12,30,1,1,1,1661,1576,0,0.22,0,Low,img_9.jpg,levar ribnar,0.42,Mismatch,Yes,0.448,Medium,other,pan,Unknown,True,ranbir ravel other Unknown pan OQPFR9864J 986 de street anantapur314465,-1,0.0,Low
1290,Krish Sood,Other,PAN,INKJS7434A,"830, Trivedi Path, Jorhat 932564",11-02-1983,krish sood,830 trivedi path jorhat 932564,INKJS7434A,True,krish sood 830 trivedi path jorhat 932564,1290,1291,10,30,1,1,1,1188,1340,0,0.02,0,Low,img_0.jpg,krish sood,1.0,Match,Yes,0.212,Low,other,pan,Unknown,True,krish sood other Unknown pan INKJS7434A 830 trivedi path jorhat 932564,-1,0.0,Low
1291,Zara Maharaj,Male,,Missing,"45/11, Sandal, Jalandhar 615121",27-03-1980,zara maharaj,4511 sandal jalandhar 615121,NONE,False,zara maharaj 45 11 sandal jalandhar 615121,1291,1292,12,29,1,1,1,2327,694,0,0.06,0,Low,img_1.jpg,jaraham araz,0.58,Mismatch,Yes,0.32,Low,male,nan,Unknown,False,zara maharaj male Unknown nan Missing 4511 sandal jalandhar 615121,-1,0.4,Medium
1292,Ishita Deep,Other,Aadhaar,1032 4617 4645,"76/19, Deep Chowk, Kanpur-323516",16-02-1984,ishita deep,7619 deep chowk kanpur323516,1.03246E+11,True,ishita deep 76 19 deep chowk kanpur 323516,1292,1293,11,30,1,1,1,923,1193,0,0.32,0,Low,img_2.jpg,ishita deep,1.0,Match,Yes,0.392,Low,other,aadhaar,Unknown,False,ishita deep other Unknown aadhaar 1032 4617 4645 7619 deep chowk kanpur323516,-1,0.4,Medium
1293,Vihaan Wali,Female,PAN,RUECW4549Q,"H.No. 743, Guha Chowk, Srikakulam 301193",25-03-1989,vihaan wali,hno 743 guha chowk srikakulam 301193,RUECW4549Q,True,vihaan wali h no 743 guha chowk srikakulam 301193,1293,1294,11,37,1,1,1,2235,2171,0,0.2,0,Low,img_3.jpg,vihaan wali,1.0,Match,Yes,0.32,Low,female,pan,Unknown,True,vihaan wali female Unknown pan RUECW4549Q hno 743 guha chowk srikakulam 301193,-1,0.0,Low
1294,Amira Hari,Other,Aadhaar,6983 3881 9529,"17/20, Tank Circle, Amravati 864726",06-02-1997,amira hari,1720 tank circle amravati 864726,6.98339E+11,True,amira hari 17 20 tank circle amravati 864726,1294,1295,10,33,1,1,1,182,234,0,0.01,0,Low,img_4.jpg,amira hari,1.0,Match,Yes,0.206,Low,other,aadhaar,Unknown,False,amira hari other Unknown aadhaar 6983 3881 9529 1720 tank circle amravati 864726,-1,0.4,Medium
1295,Miraya Karnik,Female,Passport,G6459137,"24, Rau Street, Bhusawal-969211",01-08-2000,miraya karnik,24 rau street bhusawal969211,G6459137,True,miraya karnik 24 rau street bhusawal 969211,1295,1296,13,29,1,1,1,1334,373,0,0.08,0,Low,img_5.jpg,miraya karnik,1.0,Match,Yes,0.248,Low,female,passport,Unknown,True,miraya karnik female Unknown passport G6459137 24 rau street bhusawal969211,-1,0.0,Low
1296,Fateh Basak,,Passport,N8982178,"06/11, Walia Marg, Munger 509415",02-10-1974,fateh basak,0611 walia marg munger 509415,N8982178,True,fateh basak 06 11 walia marg munger 509415,1296,1297,11,30,1,1,1,699,87,0,0.03,0,Low,img_6.jpg,kasab hetaf,0.27,Mismatch,Yes,0.364,Low,nan,passport,Unknown,True,fateh basak nan Unknown passport N8982178 0611 walia marg munger 509415,-1,0.0,Low
1297,Advik Lala,Male,Passport,T4393074,"95/54, Salvi Marg, Kakinada-112773",25-06-1977,advik lala,9554 salvi marg kakinada112773,T4393074,True,advik lala 95 54 salvi marg kakinada 112773,1297,1298,10,32,1,1,1,112,1510,0,0.0,0,Low,img_7.jpg,alal kivda,0.5,Mismatch,Yes,0.3,Low,male,passport,Unknown,True,advik lala male Unknown passport T4393074 9554 salvi marg kakinada112773,-1,0.0,Low
1298,Divyansh Khalsa,Other,Passport,K5407857,"97/20, Anne Marg, Akola-188635",05-03-2005,divyansh khalsa,9720 anne marg akola188635,K5407857,True,divyansh khalsa 97 20 anne marg akola 188635,1298,1299,15,28,1,1,1,584,1538,0,0.02,0,Low,img_8.jpg,divyansh khalsa,1.0,Match,Yes,0.212,Low,other,passport,Unknown,True,divyansh khalsa other Unknown passport K5407857 9720 anne marg akola188635,-1,0.0,Low
1299,Nakul Chada,Female,Passport,L8033049,"32/828, Kanda Circle, Hajipur-015414",28-01-1971,nakul chada,32828 kanda circle hajipur015414,L8033049,True,nakul chada 32 828 kanda circle hajipur 015414,1299,1300,11,34,1,1,1,1383,511,0,0.12,0,Low,img_9.jpg,nakul chada,1.0,Match,Yes,0.272,Low,female,passport,Unknown,True,nakul chada female Unknown passport L8033049 32828 kanda circle hajipur015414,-1,0.0,Low
1300,Suhana Dutt,Male,Passport,F8333460,"H.No. 07, Doshi Street, Eluru 239104",18-04-1978,suhana dutt,hno 07 doshi street eluru 239104,F8333460,True,suhana dutt h no 07 doshi street eluru 239104,1300,1301,11,33,1,1,1,2031,1647,0,0.01,0,Low,img_0.jpg,ttud anahus,0.45,Mismatch,Yes,0.316,Low,male,passport,Unknown,True,suhana dutt male Unknown passport F8333460 hno 07 doshi street eluru 239104,-1,0.0,Low
1301,Nakul Brar,Other,Passport,X3258106,"78/938, Dugar Road, Ambala-701869",18-09-1993,nakul brar,78938 dugar road ambala701869,X3258106,True,nakul brar 78 938 dugar road ambala 701869,1301,1302,10,31,1,1,1,1382,1230,1,0.68,1,Medium,img_1.jpg,nakul brar,1.0,Match,Yes,0.608,Medium,other,passport,Unknown,True,nakul brar other Unknown passport X3258106 78938 dugar road ambala701869,-1,0.0,Low
1302,Shalv Mani,Female,PAN,ZATCM7392A,"H.No. 387, Sarna Nagar, Coimbatore 192971",28-03-1970,shalv mani,hno 387 sarna nagar coimbatore 192971,ZATCM7392A,True,shalv mani h no 387 sarna nagar coimbatore 192971,1302,1303,10,38,1,1,1,1944,1903,0,0.02,0,Low,img_2.jpg,inam vlahs,0.1,Mismatch,Yes,0.392,Low,female,pan,Unknown,True,shalv mani female Unknown pan ZATCM7392A hno 387 sarna nagar coimbatore 192971,-1,0.0,Low
1303,Indranil Buch,Male,PAN,DZUAB4154P,"H.No. 463, Devi Circle, Noida 971791",30-10-1991,indranil buch,hno 463 devi circle noida 971791,DZUAB4154P,True,indranil buch h no 463 devi circle noida 971791,1303,1304,13,33,1,1,1,865,1972,0,0.02,0,Low,img_3.jpg,indranil buch,1.0,Match,Yes,0.212,Low,male,pan,Unknown,True,indranil buch male Unknown pan DZUAB4154P hno 463 devi circle noida 971791,-1,0.0,Low
1304,Zaina Bhat,Male,PAN,GDGFB6932K,"778, Raja Street, Noida 427552",22-09-1989,zaina bhat,778 raja street noida 427552,GDGFB6932K,True,zaina bhat 778 raja street noida 427552,1304,1305,10,28,1,1,1,2309,1224,0,0.12,0,Low,img_4.jpg,zaina bhat,1.0,Match,Yes,0.272,Low,male,pan,Unknown,True,zaina bhat male Unknown pan GDGFB6932K 778 raja street noida 427552,-1,0.0,Low
1305,Ishita Bora,Male,Passport,A3768896,"33, Andra Path, Katni 035393",10-08-2000,ishita bora,33 andra path katni 035393,A3768896,True,ishita bora 33 andra path katni 035393,1305,1306,11,26,1,1,1,919,522,0,0.0,0,Low,img_5.jpg,ishita bora,1.0,Match,Yes,0.2,Low,male,passport,Unknown,True,ishita bora male Unknown passport A3768896 33 andra path katni 035393,-1,0.0,Low
1306,Ranbir Dhawan,Female,Passport,Z6384530,"306, Wadhwa, Etawah-093833",26-06-2004,ranbir dhawan,306 wadhwa etawah093833,Z6384530,True,ranbir dhawan 306 wadhwa etawah 093833,1306,1307,13,24,1,1,1,1653,489,0,0.02,0,Low,img_6.jpg,ranbir dhawan,1.0,Match,Yes,0.212,Low,female,passport,Unknown,True,ranbir dhawan female Unknown passport Z6384530 306 wadhwa etawah093833,-1,0.0,Low
